epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1428.4,1.07245,2.33069,1.27133,0.58535,0.51699,0.54143,0.33491,1.1488,1.59741,1.40939,0.00999261,0.00333087,0.00999261,0.00333087,0.00999261,0.00333087,0.00999261,0.00333087
2,2731.94,1.22373,1.95364,1.33785,0.45475,0.43509,0.39672,0.22109,1.39127,1.94191,1.64574,0.0199266,0.00664221,0.0199266,0.00664221,0.0199266,0.00664221,0.0199266,0.00664221
3,4013.12,1.42459,2.31172,1.47666,0.37963,0.40785,0.33162,0.17296,1.56616,2.13596,1.78563,0.0297947,0.00993155,0.0297947,0.00993155,0.0297947,0.00993155,0.0297947,0.00993155
4,5289.03,1.4979,2.34376,1.55052,0.44645,0.40931,0.38748,0.20294,1.51586,1.99927,1.72616,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,6564.19,1.44263,2.15783,1.52817,0.46286,0.41482,0.39529,0.20803,1.47541,2.015,1.6973,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,7838.99,1.38785,2.05554,1.51313,0.52671,0.45282,0.45996,0.26232,1.37115,1.93314,1.62683,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,9113.67,1.31255,1.96465,1.4439,0.56918,0.47435,0.50181,0.28503,1.35448,1.75082,1.60987,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,10389.2,1.28565,1.85246,1.4221,0.56067,0.50834,0.52006,0.298,1.33429,1.71609,1.58125,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,11663.9,1.23387,1.71707,1.39908,0.57674,0.49246,0.53004,0.31188,1.26256,1.65252,1.54047,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,12938.2,1.19517,1.65241,1.37636,0.59764,0.52628,0.55474,0.3271,1.29159,1.58281,1.56694,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,14213.1,1.17916,1.61668,1.3762,0.57955,0.5381,0.54574,0.33002,1.22536,1.54435,1.5155,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,15487.4,1.16304,1.57934,1.35416,0.57841,0.51657,0.54928,0.33614,1.2139,1.59304,1.50418,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,16763.5,1.14044,1.52847,1.33123,0.59603,0.52638,0.54607,0.33357,1.22048,1.58838,1.50731,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,18037.5,1.11519,1.48888,1.32633,0.56724,0.49972,0.51916,0.313,1.22297,1.73769,1.53176,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,19311.6,1.08768,1.39042,1.29726,0.60115,0.54296,0.5701,0.35133,1.20091,1.56001,1.49714,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,20586.9,1.08622,1.38508,1.30409,0.59468,0.51539,0.55359,0.34057,1.18489,1.62585,1.45692,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,21861.4,1.05891,1.3581,1.28988,0.62515,0.5229,0.56223,0.35817,1.16577,1.5222,1.47244,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,23136.2,1.05181,1.31325,1.27062,0.63974,0.53367,0.58732,0.37619,1.13532,1.44235,1.44578,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,24412.1,1.03013,1.27337,1.26427,0.62721,0.54486,0.59111,0.3729,1.1378,1.50615,1.46274,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,25686.5,1.02299,1.25497,1.25442,0.62618,0.5666,0.60664,0.38696,1.13779,1.45299,1.42304,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,26961.4,1.00232,1.24218,1.2393,0.62292,0.57251,0.60258,0.38403,1.12514,1.44979,1.43187,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,28235.9,0.9894,1.19498,1.22779,0.6821,0.56196,0.62565,0.40053,1.1421,1.41586,1.43591,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,29510.6,0.97585,1.181,1.22215,0.63229,0.55964,0.60615,0.3806,1.15669,1.44231,1.47552,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,30785.2,0.96481,1.17924,1.20978,0.66986,0.57273,0.64139,0.41362,1.11459,1.30389,1.43728,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,32059.4,0.94376,1.11078,1.20127,0.64673,0.58476,0.6248,0.40188,1.14797,1.39208,1.44551,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,33332.7,0.94122,1.11053,1.1915,0.65594,0.5389,0.60577,0.39414,1.12334,1.53017,1.46155,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,34607.2,0.92689,1.08001,1.18172,0.63933,0.58138,0.61065,0.3991,1.08421,1.38898,1.42042,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,35881.4,0.92111,1.04452,1.17743,0.65107,0.58982,0.63664,0.41195,1.12806,1.34587,1.43246,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,37156.4,0.92034,1.03363,1.18269,0.66302,0.597,0.65641,0.42318,1.09334,1.322,1.40913,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,38431.8,0.89494,1.01327,1.16006,0.66091,0.55563,0.62378,0.40386,1.1119,1.37098,1.44552,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,39706.5,0.8866,0.97845,1.15477,0.64556,0.56639,0.61881,0.4037,1.10517,1.39978,1.41646,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,40980.7,0.87662,0.98185,1.14819,0.63751,0.59299,0.63465,0.4151,1.10955,1.35606,1.42552,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,42255.3,0.87792,0.94729,1.14543,0.66749,0.59004,0.64848,0.41869,1.10796,1.34041,1.42607,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,43529.6,0.85868,0.91575,1.13478,0.6641,0.59307,0.65195,0.42708,1.08489,1.33057,1.40733,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,44804.9,0.86505,0.90207,1.13805,0.63805,0.52776,0.5817,0.38062,1.11165,1.61659,1.42633,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,46080.1,0.83225,0.87295,1.1093,0.66881,0.60819,0.65533,0.43232,1.07259,1.32552,1.39812,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,47355.7,0.84862,0.91265,1.11855,0.67456,0.59194,0.64695,0.42546,1.09169,1.33915,1.41796,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
