epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,48630.3,0.82478,0.86937,1.10849,0.66031,0.55439,0.6122,0.40846,1.07452,1.41049,1.41752,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,49904.2,0.82983,0.87946,1.1159,0.66185,0.57505,0.62972,0.41862,1.07527,1.38643,1.39886,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,51178.5,0.81192,0.83712,1.0991,0.65917,0.56259,0.61843,0.40415,1.10958,1.44996,1.43237,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,52452.5,0.81437,0.84526,1.10166,0.67982,0.54212,0.6103,0.40459,1.08239,1.50314,1.4197,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,53726.8,0.80034,0.81569,1.0893,0.67557,0.57568,0.6357,0.42353,1.07154,1.47158,1.3942,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,55001.1,0.79011,0.79904,1.08353,0.66648,0.55558,0.60815,0.40066,1.1087,1.49584,1.43915,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,56275.2,0.78917,0.81687,1.08177,0.67637,0.59194,0.64748,0.43137,1.05999,1.33394,1.39784,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,57550,0.78492,0.78432,1.08243,0.6868,0.59215,0.64554,0.42531,1.07741,1.42771,1.41791,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,58824.7,0.77247,0.75536,1.07156,0.68187,0.57737,0.63472,0.4258,1.06573,1.46688,1.38796,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,60099.4,0.7782,0.79707,1.06583,0.66948,0.57631,0.63105,0.41558,1.08147,1.45371,1.40925,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,61373.7,0.76496,0.74548,1.06518,0.68154,0.57568,0.63691,0.42391,1.0773,1.41084,1.39901,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,62648.6,0.76266,0.75551,1.05963,0.68019,0.56888,0.62731,0.41362,1.0938,1.49275,1.42108,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,63923.2,0.75877,0.73259,1.058,0.68156,0.57779,0.64055,0.4215,1.08011,1.44803,1.40176,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,65198.6,0.7529,0.70916,1.05221,0.68459,0.55056,0.62094,0.41445,1.06374,1.46715,1.40677,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,66473.7,0.75171,0.6939,1.05256,0.67791,0.58028,0.64029,0.43195,1.05776,1.40508,1.39723,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,67750,0.74376,0.67655,1.04679,0.68986,0.5663,0.62559,0.41671,1.09626,1.5446,1.43059,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,69025.1,0.73208,0.68218,1.04274,0.6792,0.56386,0.62293,0.41895,1.07165,1.48827,1.4015,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,70300.5,0.73572,0.66148,1.03594,0.70803,0.56175,0.62643,0.41566,1.08755,1.52284,1.41389,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,71576.2,0.72103,0.65648,1.0327,0.68689,0.57209,0.62678,0.42473,1.06789,1.47922,1.40174,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,72851.6,0.7238,0.65836,1.03854,0.68234,0.59046,0.64283,0.43277,1.07013,1.40372,1.39393,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,74127.3,0.72527,0.65086,1.0326,0.69159,0.559,0.61901,0.41833,1.07039,1.53826,1.41054,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,75403.2,0.71858,0.66473,1.03042,0.68544,0.56133,0.6207,0.41902,1.05692,1.53939,1.39863,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,76679,0.70773,0.63576,1.02376,0.69854,0.58117,0.64635,0.43695,1.06213,1.4492,1.38784,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,77955.4,0.71105,0.62452,1.01992,0.69839,0.59196,0.6442,0.4364,1.05762,1.43811,1.39419,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,79231.4,0.7049,0.63473,1.02442,0.68246,0.58307,0.6366,0.42738,1.05993,1.52297,1.40485,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,80506.3,0.70357,0.62975,1.02356,0.69269,0.57863,0.63757,0.42566,1.07699,1.45764,1.4345,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,81782.2,0.70351,0.63231,1.02429,0.69356,0.56998,0.63305,0.42559,1.07963,1.48278,1.42877,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,83058.4,0.68852,0.60862,1.00607,0.70838,0.59679,0.6592,0.44609,1.0619,1.37468,1.40952,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,84334.3,0.68397,0.60837,1.00615,0.6939,0.58861,0.64512,0.43486,1.06814,1.43834,1.40171,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,85609.6,0.68289,0.59276,1.00339,0.69772,0.5742,0.63576,0.42881,1.06764,1.51327,1.40813,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,86885.1,0.68289,0.58562,1.00754,0.69305,0.58412,0.63899,0.43073,1.07498,1.46202,1.42622,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,88160.3,0.6729,0.5807,1.00052,0.68622,0.55771,0.61023,0.41659,1.05447,1.59812,1.40382,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,89435.5,0.67701,0.57946,1.00082,0.69733,0.58201,0.64007,0.43402,1.0776,1.54293,1.42507,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,90710.5,0.66997,0.56004,1.00123,0.70615,0.55985,0.61803,0.42343,1.07145,1.64068,1.42529,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,91986.1,0.66235,0.5602,0.99803,0.69928,0.56354,0.61949,0.42133,1.06904,1.60628,1.42431,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,93261.9,0.65971,0.55373,0.99138,0.70512,0.55415,0.61432,0.4178,1.06784,1.67481,1.4272,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,94537.7,0.65732,0.56932,0.98808,0.70509,0.56932,0.63484,0.43218,1.05406,1.545,1.41519,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,95814.2,0.64852,0.55466,0.98571,0.69039,0.58075,0.63619,0.43297,1.05476,1.53199,1.42009,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,97090.2,0.6473,0.54707,0.98572,0.69335,0.58615,0.63427,0.43342,1.06099,1.5485,1.41973,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,98367,0.64322,0.54854,0.98259,0.70838,0.57382,0.63764,0.4318,1.06271,1.46894,1.41869,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,99643.8,0.63786,0.5436,0.98083,0.71941,0.58159,0.64818,0.44103,1.05047,1.48281,1.41028,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,100920,0.6344,0.52784,0.97371,0.71755,0.58295,0.64428,0.44533,1.03149,1.50631,1.39314,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,102196,0.63859,0.53323,0.9811,0.70005,0.59806,0.63967,0.43868,1.0444,1.53525,1.40921,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,103473,0.62998,0.5136,0.97092,0.71802,0.58431,0.63885,0.43507,1.05343,1.53928,1.41278,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,104749,0.63268,0.51416,0.97232,0.70527,0.5742,0.62969,0.43135,1.05259,1.58385,1.40845,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,106026,0.63198,0.50987,0.97269,0.72589,0.59742,0.65596,0.44761,1.05148,1.46578,1.40557,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,107302,0.62841,0.49758,0.97103,0.7103,0.59626,0.64643,0.44162,1.05183,1.47616,1.41919,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,108578,0.61667,0.50345,0.96261,0.71341,0.59486,0.64674,0.44104,1.05271,1.53183,1.4197,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,109855,0.61968,0.49588,0.96444,0.71477,0.58645,0.64612,0.44183,1.04656,1.5577,1.40214,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,111131,0.61418,0.4865,0.96328,0.71981,0.60144,0.6484,0.44512,1.05071,1.53773,1.41687,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,112407,0.61089,0.4871,0.96133,0.71578,0.57927,0.63715,0.43932,1.05024,1.57865,1.41727,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,113684,0.6101,0.49117,0.96505,0.7148,0.59151,0.63932,0.44041,1.04694,1.54669,1.41563,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,114959,0.61378,0.48306,0.96307,0.72933,0.58349,0.63989,0.4397,1.0504,1.54206,1.42459,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,116236,0.60663,0.49093,0.95932,0.71506,0.59911,0.64208,0.4422,1.05191,1.54423,1.42225,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,117512,0.60411,0.47774,0.95632,0.71339,0.57695,0.62843,0.43102,1.04702,1.66836,1.41486,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,118788,0.59689,0.46338,0.94861,0.7061,0.57667,0.62067,0.42912,1.05028,1.6599,1.40635,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,120064,0.61028,0.47968,0.96235,0.71139,0.56613,0.62213,0.43004,1.04811,1.68827,1.41429,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,121340,0.60356,0.47999,0.95952,0.70862,0.58391,0.63689,0.43956,1.03911,1.59459,1.41081,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,122616,0.59837,0.49675,0.95384,0.71623,0.58286,0.63614,0.43857,1.0434,1.60937,1.40951,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,123893,0.59873,0.4694,0.95145,0.72339,0.56533,0.62409,0.43173,1.04576,1.66074,1.41124,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,125169,0.58116,0.44921,0.94244,0.73174,0.55457,0.61782,0.42746,1.04713,1.71227,1.41615,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,126446,0.58852,0.46128,0.95016,0.73441,0.5528,0.60853,0.41825,1.0555,1.7539,1.42312,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,127722,0.5838,0.45581,0.94816,0.73415,0.57125,0.62653,0.43174,1.05276,1.67705,1.43314,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,128999,0.58438,0.45293,0.9372,0.72437,0.5799,0.6282,0.43369,1.05865,1.6373,1.43087,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,130276,0.58551,0.45743,0.94167,0.73927,0.57273,0.63013,0.43632,1.05062,1.65934,1.41681,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,131552,0.58184,0.45952,0.94213,0.7463,0.55888,0.6256,0.43334,1.0507,1.72845,1.42064,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,132829,0.57072,0.46489,0.93739,0.7519,0.55647,0.62689,0.43342,1.0534,1.74058,1.41814,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,134105,0.57492,0.44339,0.93602,0.74458,0.55015,0.61443,0.42663,1.05453,1.76846,1.42155,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,135381,0.56588,0.44226,0.93322,0.74354,0.5571,0.62033,0.42993,1.05227,1.74341,1.42621,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,136657,0.56713,0.43833,0.93034,0.74702,0.55457,0.62332,0.43098,1.05263,1.74112,1.42324,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,137933,0.56478,0.43925,0.93284,0.75213,0.55154,0.60934,0.42558,1.04555,1.777,1.41783,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,139210,0.56915,0.43872,0.93884,0.75107,0.56386,0.61834,0.42957,1.03635,1.74005,1.4174,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,140486,0.56394,0.43186,0.93148,0.75072,0.5628,0.61913,0.42755,1.04462,1.72013,1.42911,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,141763,0.55676,0.42569,0.9271,0.75225,0.55703,0.61465,0.42619,1.04541,1.76282,1.4277,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,143039,0.56586,0.43129,0.93678,0.75289,0.55248,0.61496,0.42745,1.04518,1.75052,1.42433,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,144316,0.55647,0.43281,0.92544,0.75188,0.55143,0.61496,0.4283,1.04422,1.73294,1.42547,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,145592,0.55677,0.43131,0.92067,0.75732,0.55415,0.61354,0.42569,1.05242,1.74464,1.42854,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,146868,0.54919,0.4232,0.92488,0.74958,0.54974,0.6128,0.42399,1.05211,1.7269,1.43545,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,148144,0.54977,0.41797,0.9246,0.75367,0.55753,0.61489,0.42783,1.04617,1.73289,1.4286,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,149420,0.54765,0.41969,0.9212,0.74944,0.55882,0.61611,0.42794,1.04087,1.72547,1.41697,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,150697,0.55144,0.42605,0.92188,0.75436,0.55584,0.61842,0.42839,1.03963,1.75263,1.41361,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,151973,0.54056,0.41296,0.91913,0.75676,0.55104,0.61108,0.42389,1.0376,1.77767,1.41313,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,153250,0.54559,0.41097,0.92274,0.75787,0.5533,0.60538,0.42111,1.03231,1.79831,1.4092,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,154526,0.54231,0.4042,0.91959,0.74979,0.55099,0.60907,0.4236,1.03235,1.81473,1.41027,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,155802,0.53645,0.39634,0.91368,0.75528,0.5476,0.60702,0.42458,1.03291,1.8196,1.40843,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,157078,0.53373,0.41645,0.91505,0.75877,0.54549,0.60707,0.42383,1.03575,1.82817,1.41279,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,158354,0.53188,0.40704,0.91236,0.76469,0.5457,0.60662,0.42249,1.04049,1.83455,1.41601,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,159630,0.53602,0.40081,0.91585,0.76229,0.54428,0.60595,0.42234,1.03886,1.82278,1.41129,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,160906,0.53598,0.4025,0.91782,0.76554,0.54453,0.60524,0.42178,1.03857,1.8301,1.41479,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,162182,0.52309,0.39623,0.90968,0.76223,0.53853,0.60152,0.41783,1.04274,1.85099,1.41868,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,163458,0.5244,0.392,0.91113,0.76439,0.53489,0.59767,0.41739,1.0447,1.85659,1.42439,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,164734,0.52589,0.39503,0.91316,0.76815,0.53262,0.59703,0.41863,1.0408,1.85004,1.42295,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,166011,0.52548,0.39485,0.91442,0.77127,0.53114,0.59656,0.41761,1.04302,1.85408,1.42625,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,167287,0.52303,0.39572,0.90783,0.77402,0.52966,0.5971,0.41811,1.04388,1.86134,1.42665,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,168563,0.51939,0.38486,0.91298,0.77008,0.52676,0.59853,0.41921,1.04311,1.85773,1.42357,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,169840,0.5196,0.38536,0.90352,0.7703,0.52797,0.59699,0.41873,1.04274,1.8795,1.42381,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
